Gene ID	Gene Symbol	Genome	Species	Gene Name	Functional Descriptions	function-related-keywords	literature	Related News	NCBI ID	UniProt accessions	Orthologs	CDS Sequence	Protein Sequence	Title
TraesCS2B02G200800	FUL3-2B	Chinese_Spring1.0	Triticum aestivum		['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', 'MADS-box genes VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet and spike development, and also affect flowering time and plant height.', 'In the vrn1ful2ful3-null triple mutant, the inflorescence meristem formed a normal double-ridge structure, but then the lateral meristems generated vegetative tillers subtended by leaves instead of spikelets.', 'The ful2-null mutant showed more florets per spikelet, which together with a higher number of spikelets, resulted in a significant increase in the number of grains per spike in the field.', 'Inflorescence meristems of vrn1ful2ful3-null and vrn1ful2-null remained indeterminate and single vrn1-null and ful2-null mutants showed delayed formation of the terminal spikelet and increased number of spikelets per spike.']	['development', 'spikelet', 'plant-development', 'vegetative', 'meristem', 'spikelet-meristem', 'inflorescence', 'spikelet-number', 'height', 'plant-height', 'flowering-time', 'spikelet-development', 'flowering', 'inflorescence-development', 'spike', 'tillers']	['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', '10.1242/dev.175398', '31337701']	[]		A5X498		CDS Sequence:	Protein Sequence:	FUL3-2B
TraesCS2D02G181400	FUL3-2D	Chinese_Spring1.0	Triticum aestivum		['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', 'MADS-box genes VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet and spike development, and also affect flowering time and plant height.', 'In the vrn1ful2ful3-null triple mutant, the inflorescence meristem formed a normal double-ridge structure, but then the lateral meristems generated vegetative tillers subtended by leaves instead of spikelets.', 'The ful2-null mutant showed more florets per spikelet, which together with a higher number of spikelets, resulted in a significant increase in the number of grains per spike in the field.', 'Inflorescence meristems of vrn1ful2ful3-null and vrn1ful2-null remained indeterminate and single vrn1-null and ful2-null mutants showed delayed formation of the terminal spikelet and increased number of spikelets per spike.']	['development', 'spikelet', 'plant-development', 'vegetative', 'meristem', 'spikelet-meristem', 'inflorescence', 'spikelet-number', 'height', 'plant-height', 'flowering-time', 'spikelet-development', 'flowering', 'inflorescence-development', 'spike', 'tillers']	['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', '10.1242/dev.175398', '31337701']	[]		A0A3B6D958		CDS Sequence:	Protein Sequence:	FUL3-2D
TraesCSU02G009800	GNI-A1	Chinese_Spring1.0	Triticum aestivum		['The GNI1 gene, encoding an HD-Zip I transcription factor, was identified as responsible for increased floret fertility.', 'Genetic analysis has revealed that the reduced-function allele GNI-A1 contributes to the increased number of fertile florets per spikelet. The RNAi-based knockdown of GNI1 led to an increase in the number of both fertile florets and grains in hexaploid wheat.', 'The locus Grain Number Increase 1 (GNI1) is shown here to be an important contributor to floret fertility. GNI1 evolved in the Triticeae through gene duplication. The gene, which encodes a homeodomain leucine zipper class I (HD-Zip I) transcription factor, was expressed most abundantly in the most apical floret primordia and in parts of the rachilla, suggesting that it acts to inhibit rachilla growth and development.', 'The RNAi-based knockdown of GNI1 led to an increase in the number of both fertile florets and grains in hexaploid wheat.']	['transcription-factor', 'growth', 'development', 'spikelet', 'grain', 'fertility', 'grain-number', 'spikelet-number', 'spikelet-development', 'grain-growth']	['Unleashing floret fertility in wheat through the mutation of a homeobox gene.', '10.1073/pnas.1815465116', '30792353']	[]		A0A3B6U9N9		CDS Sequence:	Protein Sequence:	GNI-A1
TraesCS2B02G405700	GNI-B1	Chinese_Spring1.0	Triticum aestivum		['The GNI1 gene, encoding an HD-Zip I transcription factor, was identified as responsible for increased floret fertility.', 'Genetic analysis has revealed that the reduced-function allele GNI-A1 contributes to the increased number of fertile florets per spikelet. The RNAi-based knockdown of GNI1 led to an increase in the number of both fertile florets and grains in hexaploid wheat.', 'The locus Grain Number Increase 1 (GNI1) is shown here to be an important contributor to floret fertility. GNI1 evolved in the Triticeae through gene duplication. The gene, which encodes a homeodomain leucine zipper class I (HD-Zip I) transcription factor, was expressed most abundantly in the most apical floret primordia and in parts of the rachilla, suggesting that it acts to inhibit rachilla growth and development.', 'The RNAi-based knockdown of GNI1 led to an increase in the number of both fertile florets and grains in hexaploid wheat.']	['transcription-factor', 'growth', 'development', 'spikelet', 'grain', 'fertility', 'grain-number', 'spikelet-number', 'spikelet-development', 'grain-growth']	['Unleashing floret fertility in wheat through the mutation of a homeobox gene.', '10.1073/pnas.1815465116', '30792353']	[]		A0A3B6CA76		CDS Sequence:	Protein Sequence:	GNI-B1
TraesCS2D02G385500	GNI-D1	Chinese_Spring1.0	Triticum aestivum		['The GNI1 gene, encoding an HD-Zip I transcription factor, was identified as responsible for increased floret fertility.', 'Genetic analysis has revealed that the reduced-function allele GNI-A1 contributes to the increased number of fertile florets per spikelet. The RNAi-based knockdown of GNI1 led to an increase in the number of both fertile florets and grains in hexaploid wheat.', 'The locus Grain Number Increase 1 (GNI1) is shown here to be an important contributor to floret fertility. GNI1 evolved in the Triticeae through gene duplication. The gene, which encodes a homeodomain leucine zipper class I (HD-Zip I) transcription factor, was expressed most abundantly in the most apical floret primordia and in parts of the rachilla, suggesting that it acts to inhibit rachilla growth and development.', 'The RNAi-based knockdown of GNI1 led to an increase in the number of both fertile florets and grains in hexaploid wheat.']	['transcription-factor', 'growth', 'development', 'spikelet', 'grain', 'fertility', 'grain-number', 'spikelet-number', 'spikelet-development', 'grain-growth']	['Unleashing floret fertility in wheat through the mutation of a homeobox gene.', '10.1073/pnas.1815465116', '30792353']	[]		A0A2X0S944		CDS Sequence:	Protein Sequence:	GNI-D1
TraesCS6B02G207500LC	Gpc-B1	Chinese_Spring1.0	Triticum aestivum		['We report here the positional cloning of Gpc-B1, a wheat quantitative trait locus associated with increased grain protein.', 'Complete linkage of the 7.4-kb region with the different phenotypes suggests that Gpc-B1 is a single gene with multiple pleiotropic effects.', 'The ancestral wild wheat allele encodes a NAC transcription factor (NAM-B1) that accelerates senescence and increases nutrient remobilization from leaves to developing grains, whereas modern wheat varieties carry a nonfunctional NAM-B1 allele.', 'Reduction in RNA levels of the multiple NAM homologs by RNA interference delayed senescence by more than 3 weeks and reduced wheat grain protein, zinc, and iron content by more than 30%.']	['transcription-factor', 'senescence', 'grain', 'zinc', 'iron', 'grain-protein-content', 'grain-protein', 'iron-content']	['A NAC Gene regulating senescence improves grain protein, zinc, and iron content in wheat.', '10.1126/science.1133649', '17124321']	[]		A0A0A7NVR6		CDS Sequence:	Protein Sequence:	Gpc-B1;NAM-B1
TraesCS5D02G004000	Gsp-1	Chinese_Spring1.0	Triticum aestivum		['In hexaploid wheat, the tight linkage among these three genes has not been broken, such that the Ha locus haplotype (Pina-D1, Pinb-D1 and Gsp-D1) is associated with kernel texture phenotype.', 'Both Pin genes have been deleted from chromosomes 5A and 5B during the evolution of durum wheat (the contributor of A and B genomes of common wheat). In contrast, all three Gsp-1 genes (from the A, B and D genomes) are conserved in common wheat.', 'Among members of the Triticeae, most notably wheat, much of the variation in texture is controlled by a single locus comprised of the Puroindoline a, Puroindoline b and Grain Softness Protein-1 (Gsp-1) genes.']	['grain', 'grain-protein', 'kernel-texture']	['Molecular genetics of puroindolines and related genes: allelic diversity in wheat and other grasses.', '10.1007/s11103-007-9263-7', '18049798']	[]		Q84QI5		CDS Sequence:	Protein Sequence:	Gsp-1
TraesCS7B02G149200	HSP90.2	Chinese_Spring1.0	Triticum aestivum		['Wheat Heat Shock Protein 90.2 (HSP90.2) is a pathogen-inducible molecular chaperone folding nascent preproteins.', 'etraploid wheat HSP90.2 knockout mutant was susceptible to powdery mildew, while the HSP90.2 overexpression line was resistant, suggesting that HSP90.2 was essential for wheat resistance against powdery mildew.', 'HSP90.2 is involved in wheat resistance against powdery mildew.', 'The 2Q2 protein resided in chloroplasts, and HSP90.2 played a critical role in the accumulation of 2Q2 in thylakoids.', 'HSP90.2 promotes CO(2) assimilation rate, grain weight and yield in wheat.']	['resistance', 'pathogen', 'resistant', 'pathogen-resistance', 'powdery-mildew', 'mildew-resistance', 'mildew', 'powdery-mildew-resistance']	['HSP90.2 modulates 2Q2-mediated wheat resistance against powdery mildew.', '10.1111/pce.14579', '36890722', 'HSP90.2 promotes CO(2) assimilation rate, grain weight and yield in wheat.', '10.1111/pbi.14032', '36794449']	[]		F4Y593		CDS Sequence:	Protein Sequence:	HSP90.2
TraesCS6A02G392400	KAT-2A	Chinese_Spring1.0	Triticum aestivum		['Here, we report that triticale grain weight 1 (tgw1) mutant, with marked reductions in both GW and JA content, is caused by a premature stop mutation in keto-acyl thiolase 2B (KAT-2B) involved in oxidation during JA synthesis.', 'KAT-2B overexpression increases GW in wild type and boosts yield.', 'KAT-2B compliments the grain defect in tgw1 and rescues the lethal phenotype of the Arabidopsis kat2 mutant in a sucrose-free medium.', 'These results suggested that wheat KAT-2B is very likely involved in the biosynthesis of JA.']	['grain', 'grain-yield', 'ja', 'yield', 'grain-weight', 'sucrose', 'ja-biosynthesis']	['Cloning of wheat keto-acyl thiolase 2B reveals a role of jasmonic acid in grain weight determination.', '10.1038/s41467-020-20133-z', '33293512']	[]		A0A3B6NV46		CDS Sequence:	Protein Sequence:	KAT-2A
TraesCS6B02G432600	KAT-2B	Chinese_Spring1.0	Triticum aestivum		['Here, we report that triticale grain weight 1 (tgw1) mutant, with marked reductions in both GW and JA content, is caused by a premature stop mutation in keto-acyl thiolase 2B (KAT-2B) involved in oxidation during JA synthesis.', 'KAT-2B overexpression increases GW in wild type and boosts yield.', 'KAT-2B compliments the grain defect in tgw1 and rescues the lethal phenotype of the Arabidopsis kat2 mutant in a sucrose-free medium.', 'These results suggested that wheat KAT-2B is very likely involved in the biosynthesis of JA.']	['grain', 'grain-yield', 'ja', 'yield', 'grain-weight', 'sucrose', 'ja-biosynthesis']	['Cloning of wheat keto-acyl thiolase 2B reveals a role of jasmonic acid in grain weight determination.', '10.1038/s41467-020-20133-z', '33293512']	[]		A0A3B6PSZ6		CDS Sequence:	Protein Sequence:	KAT-2B
TraesCS6D02G493900LC	KAT-2D	Chinese_Spring1.0	Triticum aestivum		['Here, we report that triticale grain weight 1 (tgw1) mutant, with marked reductions in both GW and JA content, is caused by a premature stop mutation in keto-acyl thiolase 2B (KAT-2B) involved in oxidation during JA synthesis.', 'KAT-2B overexpression increases GW in wild type and boosts yield.', 'KAT-2B compliments the grain defect in tgw1 and rescues the lethal phenotype of the Arabidopsis kat2 mutant in a sucrose-free medium.', 'These results suggested that wheat KAT-2B is very likely involved in the biosynthesis of JA.']	['grain', 'grain-yield', 'ja', 'yield', 'grain-weight', 'sucrose', 'ja-biosynthesis']	['Cloning of wheat keto-acyl thiolase 2B reveals a role of jasmonic acid in grain weight determination.', '10.1038/s41467-020-20133-z', '33293512']	[]		D2KZ12		CDS Sequence:	Protein Sequence:	KAT-2D
	LecRK-V	Chinese_Spring1.0	Triticum aestivum		['Overexpressing LecRK-V in transgenic wheat resulted in broad-spectrum powdery mildew resistance.', 'Transient and stable overexpression of LecRK-V in Yangmai158 improved the powdery mildew resistance.', 'An L-type lectin receptor kinase gene LecRK-V was cloned from Haynaldia villosa, a diploid wheat relative which is highly resistant to powdery mildew.', 'The expression of LecRK-V was rapidly up-regulated by Bgt inoculation and chitin treatment. Its transcript level was higher in the leaves than in roots, culms, spikes and callus.', 'Single-cell transient overexpression of LecRK-V led to decreased haustorium index in wheat variety Yangmai158, which is powdery mildew susceptible.', 'Overexpressing LecRK-V in transgenic wheat resulted in broad-spectrum powdery mildew resistance.']	['kinase', 'resistance', 'resistant', 'callus', 'receptor-kinase', 'powdery-mildew', 'mildew-resistance', 'mildew', 'powdery-mildew-resistance']	['LecRK-V, an L-type lectin receptor kinase in Haynaldia villosa, plays positive role in resistance to wheat powdery mildew.', '10.1111/pbi.12748', '28436098']	[]	KY612459			CDS Sequence:	Protein Sequence:	LecRK-V
TraesCS1D02G001200	LGP1	Chinese_Spring1.0	Triticum aestivum		['Identification and characterization of a wheat low gluten protein 1 (LGP1) mutant that shows extremely low levels of gliadins and glutenins.', 'The reduced gluten level in the LGP1 mutant makes it a good candidate for specific diets for patients with diabetes or kidney diease.', 'The LGP1 mutant accumulates low levels of seed storage proteins.', 'LGP1 endosperm cells show SSP aggregation in the extracellular space.', 'The reduced gluten level in the LGP1 mutant makes it a good candidate for specific diets for patients with diabetes or kidney diease.']	['seed', 'endosperm', 'ssp']	['Unprocessed wheat γ-gliadin reduces gluten accumulation associated with the endoplasmic reticulum stress and elevated cell death.', '10.1111/nph.18316', '35714031']	[]		M9TGF7		CDS Sequence:	Protein Sequence:	LGP1
TraesCS1A02G018600	Lr10	Chinese_Spring1.0	Triticum aestivum		['We detected a polymorphic DNA fragment in the line with the Lr10 resistance gene.This fragment mapped to the Lr10 disease resistance locus and encodes a receptor-like protein kinase which we called LRK10.', 'Molecular cloning of a new receptor-like kinase gene encoded at the Lr10 disease resistance locus of wheat.', 'Analysis of wheat lines with and without the Lr10 gene demonstrated that Lrk10 and Lr10 belong to the same genetic locus.']	['kinase', 'resistance', 'disease', 'disease-resistance', 'protein-kinase', 'receptor-kinase']	['Molecular cloning of a new receptor-like kinase gene encoded at the Lr10 disease resistance locus of wheat.', '10.1046/j.1365-313X.1997.11010045.x', '9025301']	[]		A0A3B5XTC9		CDS Sequence:	Protein Sequence:	Lr10
TraesCS2B02G182800	Lr13	Chinese_Spring1.0	Triticum aestivum		['These results indicated that LrZH22/Lr13 is a high-temperature leaf rust resistance gene likely influenced by genetic background.', 'Wheat leaf rust resistance gene Lr13 is a specific Ne2 allele for hybrid necrosis.', 'In summary, we isolated the high-temperature leaf rust resistance gene LrZH22/Lr13 from the elite wheat cultivar Zhoumai 22 using map-based cloning, MutRenSeq, EMS mutagenesis, transgenic validation, and haplotype analysis.', 'Independent cloning and genetic analysis revealed that els1/Ne2 is the same as LrZH22/Lr13. LrZH22/Lr13/els1/Ne2 encodes a NLR protein that triggers programmed cell death and exhibits pleiotropic effects on leaf rust resistance and hybrid necrosis.', 'Yr27(TraesKAR2B01G0121530LC) is allelic to the leaf rust resistance gene Lr13, the Yr27 and Lr13 proteins show 97% sequence identity.']	['leaf', 'temperature', 'resistance', 'map-based-cloning', 'cell-death', 'programmed-cell-death', 'rust-resistance', 'rust']	['Fine Mapping of the Wheat Leaf Rust Resistance Gene LrLC10 (Lr13) and Validation of Its Co-segregation Markers.', '10.3389/fpls.2020.00470', '32477377', 'High-temperature wheat leaf rust resistance gene Lr13 exhibits pleiotropic effects on hybrid necrosis.', '10.1016/j.molp.2021.05.009', '33965635', 'Long-read genome sequencing of bread wheat facilitates disease resistance gene cloning.', '10.1038/s41588-022-01022-1', '35288708']	[]		A0A3B6C240		CDS Sequence:	Protein Sequence:	Lr13;LrZH22
	Lr14a	Chinese_Spring1.0	Triticum aestivum		['Lr14a confers leaf rust resistance in ArinaLrFor.', 'Lr14a encodes a membrane-localized protein containing twelve ankyrin (ANK) repeats and structural similarities to Ca2+-permeable non-selective cation channels.', 'Transcriptome analyses reveal an induction of genes associated with calcium ion binding in the presence of Lr14a.', 'Of these three genes, only Lr14a confers seedling resistance at ambient temperatures.', 'These unique properties of phenotypic and genetic interactions of a major seedling disease resistance gene make Lr14a an interesting target for molecular functional analyses.']	['leaf', 'resistance', 'seedling', 'disease', 'disease-resistance', 'calcium', 'rust-resistance', 'rust']	['A membrane-bound ankyrin repeat protein confers race-specific leaf rust disease resistance in wheat.', '10.1038/s41467-020-20777-x', '33574268']	[]	MT123593			CDS Sequence:	Protein Sequence:	Lr14a
TraesCS1D02G005400	Lr21	Chinese_Spring1.0	Triticum aestivum		['Lr21 is a potentially durable and highly effective leaf rust resistance gene in wheat.', 'Map-Based Cloning of Leaf Rust Resistance Gene Lr21 From the Large and Polyploid Genome of Bread Wheat.', 'Cloning of Lr21 was confirmed by genetic transformation and by a stably inherited resistance phenotype in transgenic plants.', 'Lr21 diversity unveils footprints of wheat evolution and its new role in broad-spectrum leaf rust resistance.', 'Lr21 is a leaf rust resistance gene, which did not enter the initial gene flow from Ae. tauschii into hexaploid wheat due to restrictive hybridization events.']	['leaf', 'resistance', 'map-based-cloning', 'rust-resistance', 'rust']	['Map-based cloning of leaf rust resistance gene Lr21 from the large and polyploid genome of bread wheat.', '10.1093/genetics/164.2.655', '12807786', 'Lr21 diversity unveils footprints of wheat evolution and its new role in broad-spectrum leaf rust resistance.', '10.1111/pce.14144', '34212402']	[]		A0A3B5ZNV1		CDS Sequence:	Protein Sequence:	Lr21
TraesCS7D02G080300	Lr34	Chinese_Spring1.0	Triticum aestivum		['The wheat gene Lr34 has supported resistance to these pathogens for more than 50 years. Lr34 is now shared by wheat cultivars around the world.', 'Alleles of Lr34 conferring resistance or susceptibility differ by three genetic polymorphisms.', 'The wheat gene Lr34 is associated with resistance to two rust diseases of wheat, leaf rust, and stripe rust , as well as powdery mildew.', 'Previous studies have localized the codominant gene Lr34 on the short arm of chromosome 7D between the two markers gwm1220 and SWM10. We further reduced the target interval in a map-based cloning approach based on three high-resolution populations.', 'The wheat resistance gene Lr34 results in the constitutive induction of multiple defense pathways in transgenic barley.', 'The wheat Lr34 multipathogen resistance gene confers resistance to anthracnose and rust in sorghum.', 'The wheat Lr34 gene provides resistance against multiple fungal pathogens in barley.', 'The durable wheat disease resistance gene Lr34 confers common rust and northern corn leaf blight resistance in maize.', 'Lr67 and Lr34 rust resistance genes have much in common–they confer broad spectrum resistance to multiple pathogens in wheat.', 'Interestingly, in one genetic background the transgenic Lr34-based resistance resulted in improved seedling resistance without cold treatment. These data indicate that functional variability in Lr34-based resistance can be created using a transgenic approach']	['leaf', 'resistance', 'map-based-cloning', 'powdery-mildew', 'rust-resistance', 'rust', 'mildew-resistance', 'mildew', 'powdery-mildew-resistance']	['A putative ABC transporter confers durable resistance to multiple fungal pathogens in wheat.', '10.1126/science.1166453', '19229000', 'The wheat resistance gene Lr34 results in the constitutive induction of multiple defense pathways in transgenic barley.', '10.1111/tpj.13001', '26315512', 'The wheat Lr34 multipathogen resistance gene confers resistance to anthracnose and rust in sorghum.', '10.1111/pbi.12723', '28301718', 'The durable wheat disease resistance gene Lr34 confers common rust and northern corn leaf blight resistance in maize.', '10.1111/pbi.12647', '27734576', 'Lr67 and Lr34rust resistance genes have much in common – they confer broad spectrum resistance to multiple pathogens in wheat.', '10.1186/1471-2229-13-96', '23819608', 'Functional variability of the Lr34 durable resistance gene in transgenic wheat.', '10.1111/j.1467-7652.2012.00683.x', '22321563']	[]	FJ436983.1	C0JSA8		CDS Sequence:	Protein Sequence:	Lr34;Yr18
TraesCS4D02G243100	Lr67	Chinese_Spring1.0	Triticum aestivum		['The Lr67 resistance gene encodes a predicted hexose transporter (Lr67res) that differs from the susceptible form of the same protein (Lr67sus) by two amino acids that are conserved in orthologous hexose transporters.', 'We use comparative genomics, mutagenesis and transformation to isolate the wheat Lr67 gene on chromosome 4DL, which confers partial resistance to all three wheat rust pathogen species and powdery mildew.', 'Sugar uptake assays show that Lr67sus, and related proteins encoded by homeoalleles, function as high-affinity glucose transporters.', 'Lr67res exerts a dominant-negative effect through heterodimerization with these functional transporters to reduce glucose uptake.', 'Lr67 and Lr34 rust resistance genes have much in common – they confer broad spectrum resistance to multiple pathogens in wheat.']	['resistance', 'pathogen', 'transporter', 'sugar', 'pathogen-resistance', 'powdery-mildew', 'rust-resistance', 'rust', 'mildew-resistance', 'mildew', 'powdery-mildew-resistance']	['A recently evolved hexose transporter variant confers resistance to multiple pathogens in wheat.', '10.1038/ng.3439', '26551671', 'Lr67 and Lr34rust resistance genes have much in common – they confer broad spectrum resistance to multiple pathogens in wheat.', '10.1186/1471-2229-13-96', '23819608']	[]		W5ELX6		CDS Sequence:	Protein Sequence:	Lr67
	Lr67res		Triticum aestivum		['Expression of the wheat multipathogen resistance hexose transporter Lr67res is associated with anion fluxes.', 'Lr67res-mediated disease resistance was proposed to occur via a dominant-negative interference, whereby the nonfunctional Lr67res protein forms inactive transporter complexes via heterodomerization with the functional STP13 protein homoeologs encoded on the A and B genomes of hexaploid wheat', 'Lr67res is a mutated hexose-proton symporter, the possibility that uncoupling of protons was responsible for the observed currents was thoroughly investigated and appeared not to be the case.', 'Although more work is required to refine nuances of the Lr67res transport mechanism, this study provides detailed characterization of the Lr67res function and represents a substantial step toward understanding multipathogen resistance in crops.']	['resistance', 'disease', 'disease-resistance', 'transporter', 'protein']	['Expression of the wheat multipathogen resistance hexose transporter Lr67res is associated with anion fluxes.', '10.1093/plphys/kiad104', '36806945']	[]	https://www.ncbi.nlm.nih.gov/gene/?term=Triticum		[]	CDS Sequence:	Protein Sequence:	Lr67res
TraesCS7D02G501000	LRD	Chinese_Spring1.0	Triticum aestivum		['The LATERAL ROOT DENSITY(LRD) gene regulates root growth during water stress in wheat', 'LRD can be potentially useful for improving wheat response to water stress and altering yield components.', 'Transcript level of LATERAL ROOT DENSITY (LRD) gene under limited water in the Agropyron translocation line confers it the ability to maintain root growth.', 'Wheat LRD, a KNAT3 homolog, negatively regulates root growth during water stress.', 'LRD RNAi mutants maintain stomatal conductance under water stress.', 'Pleiotropic effect of LRD on yield components.']	['root', 'growth', 'stress', 'yield', 'root-growth', 'stomatal', 'lateral-root', 'stomatal-density', 'stress-response']	['The LATERAL ROOT DENSITY gene regulates root growth during water stress in wheat.', '10.1111/pbi.13355', '32031318']	[]		A0A3B6TRJ0		CDS Sequence:	Protein Sequence:	LRD
TraesCS5D02G161000	LYS3	Chinese_Spring1.0	Triticum aestivum		['LYS3 encodes a prolamin-box-binding transcription factor that controls embryo growth in barley and wheat.', 'LYS3 encodes a transcription factor called Prolamin Binding Factor (PBF).', 'PBF expression in wild-type embryos precedes the onset of embryo enlargement in LYS3 mutants, suggesting that PBF suppresses embryo growth.', 'Mutations at the LYS3 locus in barley have multiple effects on grain development.', 'Fine mapping LYS3 identified a 64-gene region on chromosome arm 5HL controlling embryo size.', 'This showed that LYS3 mutant embryos were significantly larger than wild type embryos only after 23 DAF (Student’s t-test, p = 0.01). Thus, in wild-type embryos, the onset of PBF expression precedes the suppression of embryo growth.']	['transcription-factor', 'growth', 'development', 'grain', 'grain-size', 'embryo', 'grain-growth', 'prolamin', 'embryo-development', 'embryo-growth']	['LYS3 encodes a prolamin-box-binding transcription factor that controls embryo growth in barley and wheat.', '10.1016/j.jcs.2020.102965', '32508376']	[]		A0A3B6MNC7		CDS Sequence:	Protein Sequence:	LYS3
TraesCS3D02G474300	mDES1	Chinese_Spring1.0	Triticum aestivum		['DES1 is an ortholog of Sr35, which recognizes a Puccinia graminis f. sp. tritici stem rust disease effector in wheat.', 'The overexpression of mDES1 triggered necrosis and PCD in transgenic plants.', 'Abnormal cell division and effects of hormones on mDES1 plants.', 'DES1 is an ortholog of Sr35, which recognizes a Puccinia graminis f. sp. tritici stem rust disease effector in wheat, but mDES1 gained function as a direct inducer of plant death.', 'The point mutation in mDES1 did not cause changes in this protein in the oligomeric state, but mDES1 failed to interact with replication protein A leading to abnormal mitotic cell division.']	['stem', 'disease', 'cell-division', 'cell-death', 'pcd', 'rust']	['A semi-dominant NLR allele causes whole-seedling necrosis in wheat.', '10.1093/plphys/kiab058', '33576803']	[]		A0A3B6H5B8		CDS Sequence:	Protein Sequence:	mDES1
TraesCSU02G074100LC	Mds-1	Chinese_Spring1.0	Triticum aestivum		['We examined the impact of silencing and ectopic expression of Mds-1 in susceptible and resistant wheat genotypes.', 'Silencing of Mds-1 inhibits Hessian fly development.', 'Mds-1 confers resistance gene plants susceptibility.', 'Here we show that the gene Mayetiola destructor susceptibility-1 on wheat chromosome 3AS encodes a small heat-shock protein and is a major susceptibility gene for infestation of wheat by the gall midge M. destructor, commonly known as the Hessian fly.', 'Silencing of Mayetiola destructor susceptibility-1 by RNA interference confers immunity to all Hessian fly biotypes on normally susceptible wheat genotypes. Mayetiola destructor susceptibility-1-silenced plants also show reduced lesion formation due to infection by the powdery mildew fungus Blumeria graminis f. sp. tritici.']	['development', 'resistance', 'immunity', 'resistant', 'lesion', 'powdery-mildew', 'mildew-resistance', 'mildew', 'powdery-mildew-resistance']	['Wheat Mds-1 encodes a heat-shock protein and governs susceptibility towards the Hessian fly gall midge.', '10.1038/ncomms3070', '23792912']	[]				CDS Sequence:	Protein Sequence:	Mds-1
	Ml92145E8-9	resistance	Triticum aestivum		['Molecular mapping of a novel wheat powdery mildew resistance gene Ml92145E8-9 and its application in wheat breeding by marker-assisted selection.', 'Genetic analysis reveals that the powdery mildew resistance in 92145E8-9 is controlled by a single dominant gene, temporarily designated Ml92145E8-9.', 'These findings indicated that Ml92145E8-9 is non-allelic to either Pm4b or PmLK906. Thus, Ml92145E8-9 is likely to be a new powdery mildew resistance gene on 2AL.', 'The markers closely linked to Ml92145E8-9 would be useful in marker-assisted selection for wheat powdery mildew resistance breeding.']	['resistance', 'breeding', 'powdery-mildew', 'mildew-resistance', 'mildew', 'powdery-mildew-resistance']	['wheat powdery mildew resistance gene Ml92145E8-9 and its application in wheat breeding by marker-assisted selection.', '10.1016/j.cj.2018.04.004']	[]			[]	CDS Sequence:	Protein Sequence:	Ml92145E8-9
	MlWE18	Chinese_Spring1.0	Triticum aestivum		['Powdery mildew resistance gene MlWE18 was identified in common wheat line 3D249, an introgression derivative of WEW accession WE18 (G-360-M), and initially mapped within a 23.5 cM genetic interval on chromosome 7AL.', 'These results indicated that NLRWE18 is functional powdery mildew resistance allele MlWE18.']	['resistance', 'powdery-mildew', 'mildew-resistance', 'mildew', 'powdery-mildew-resistance']	['Bulked segregant CGT-Seq-facilitated map-based cloning of a powdery mildew resistance gene originating from wild emmer wheat (Triticum dicoccoides).', '10.1111/pbi.13609', '33949081']	[]	MW375697			CDS Sequence:	Protein Sequence:	MlWE18
TRIAE_CS42_4DS_TGACv1_361189_AA1163110	Ms2	IWGSC RefSeq v1.0	Triticum aestivum		['The male-sterile Ms2 mutant has been known for 40 years and has become extremely important in the commercial production of wheat.', 'Ms2 mutant plants produce abnormal anthers with no pollen. The male sterility phenotype is conferred by a single dominant gene Ms2, which was found to be located on the short arm of chromosome 4D by cytogenetic analysis7.', 'Use of the Ms2 mutant thus obviated the need for the labour-intensive emasculation step in the production of hybrid wheat seed and, more importantly, accelerated the recurrent selection process in wheat.', 'This TRIM element is responsible for the anther-specific Ms2 activation that confers male sterility.', 'TRIM-induced expression of the intact Ms2 reveals a potential mechanism of gene activation in plants.', 'Fertility recovery of wheat male sterility controlled by Ms2 using CRISPR/Cas9.']	['pollen', 'anther', 'sterility', 'seed', 'sterile', 'male-sterility', 'seed-phenotype', 'hybrid-sterility']	['A TRIM insertion in the promoter of Ms2 causes male sterility in wheat.', '10.1038/ncomms15121 10.1038/ncomms15407', '28497807', 'Fertility recovery of wheat male sterility controlled by Ms2 using CRISPR/Cas9.', '10.1111/pbi.13482', '32970905']	[]				CDS Sequence:	Protein Sequence:	Ms2
